title,address,jobType,educational,workExperience,workTag,salary,salaryMonth,companyTag,hrWork,hrName,practice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
Python python应用工程师（AI方向）,西安,python,大专,1-3年,Python|机器学习经验,"[8000, 13000]",0薪,"[""带薪年假"", ""股票期权"", ""节日福利"", ""加班补助"", ""夜班补助"", ""员工旅游"", ""绩效奖金"", ""高温补贴"", ""零食下午茶"", ""全勤奖"", ""节假日加班费"", ""生日福利"", ""五险一金"", ""年终奖"", ""团建聚餐""]",师女士,招聘者,False,天天出行科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20191212/95b334bbfc24a72d4a476f157af171bdf3dd4ba6b77d6bc947a827587284fba5_s.jpg?x-oss-process=image/resize,w_100,limit_0",动力电池,D轮及以上,"[100, 499]",https://www.zhipin.com/job_detail/3c4e447506d2e70303R409q8FFpQ.html?lid=aIw13aFa3Ip.search.1&securityId=z2qwRyffYt2Ez-i1jpbhjG9GKwtLoPPgblytqfSehENgd_06yMi2turj3yahc4_LdsDmKCMV_SH7NxOTlnW6t_yYYa9Y-e7E15YJRHWBYl5bgCzz1w~~&sessionId=,https://www.zhipin.com/gongsi/8e94cacb69044e210n1z2NS0FQ~~.html,雁塔区
初级 Python 开发工程师,西安,python,本科,在校/应届,MySQL|Python,"[7000, 12000]",13薪,"[""生日福利"", ""节日福利"", ""年终奖"", ""零食下午茶"", ""带薪年假"", ""定期体检"", ""五险一金"", ""餐补""]",何女士,HR,False,庖丁科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210118/116fc0b6c2de3018f1142c0583ed5954045135a88d2db382c47afc97b18bfbd2_s.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,A轮,"[100, 499]",https://www.zhipin.com/job_detail/7eb6966ddef471591XJz09W5E1NR.html?lid=aIw13aFa3Ip.search.2&securityId=DF-4RCDzxhDTE-q1Oil9hH6nxLhbFxO1dX6dJfwpPrWYSFRAEzlCzyXCF5zyQzfnEpHlZfEN2tohDbR7Uvqte0ETnFnTQa12Isd4_8eo1kGo4ZIh72MjajLT7_z_9J2OUex2JBEcEI9zT-SVwN37Hzg~&sessionId=,https://www.zhipin.com/gongsi/0bcec1e5436c045d1nR42di4GA~~.html,雁塔区
python/go后台开发实习生,西安,python,本科,6个月,Python|Golang|C++|Docker|Kubernetes|MySQL|,"[200, 300]",0薪,"[""免费健身房"", ""节日福利"", ""团建聚餐"", ""补充医疗保险"", ""年终奖"", ""员工旅游"", ""交通补助"", ""定期体检"", ""意外险"", ""免费班车"", ""带薪年假"", ""五险一金"", ""公仔周边活动"", ""有无线网""]",魏先生,云存储-后台开发,True,腾讯,"https://img.bosszhipin.com/beijin/mcs/bar/20200430/4204e9c9f200b00b77fb59d093acd281be1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/b17ba109bcbd926e1HN63NW4E1pX.html?lid=aIw13aFa3Ip.search.3&securityId=yRrrhmUrL7AjC-E18iPylr4cPXvgKqaDMSRrXiHDBWaGKw9ni5Q1aknJpvoDJ3AJdbERnIl0KFBK-ulovfladW16k7K0t-e7iu2wRNwaHurevg~~&sessionId=,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html,雁塔区
软件工程师(C/C++/Java/Python),西安,python,本科,1-3年,Python|Java|C|Django|MySQL|Spark,"[13000, 20000]",0薪,"[""五险一金"", ""补充医疗保险"", ""节日福利"", ""保底工资"", ""离职补偿"", ""法定节假日三薪"", ""员工旅游"", ""节假日加班费"", ""股票期权"", ""定期体检"", ""年终奖"", ""免费班车"", ""绩效奖金"", ""带薪年假""]",彭女士,招聘,False,华为技术有限公司,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/05ced5b8b05b561c1HBz2tW6ElNR.html?lid=aIw13aFa3Ip.search.5&securityId=nq3t_6Ln4DpAK-B10B40ur7GA5Ot_dIQBKnFuI7hqiY5yA_f8c3f-34UmCPi9rq0cqU3d8HrtEuEDn6Ac89UDik2Ha6ppvrf1eaYgzMNiQX2PR3uwA~~&sessionId=,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html,雁塔区
Python,西安,python,本科,3-5年,Docker|Redis|Python,"[12000, 20000]",0薪,"[""团建聚餐"", ""节日福利"", ""五险一金"", ""生日福利"", ""带薪年假"", ""股票期权""]",张先生,招聘顾问,False,德科信息有限公司,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20231107/7bf6f160950405e985c837a4cbcb50ebede3b22bd84a1a342f2cfe60d762ca3968d0c46de6336218.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[1000, 9999]",https://www.zhipin.com/job_detail/a0cd2fbeff4d441503Z92d-4FFRU.html?lid=aIw13aFa3Ip.search.6&securityId=qUS5qfxCnhLDk-U1AaM5Vt7VSTM68t-ttbIo3I-TeFbS29sY6MNRCfWhVdY5zaYQa0RUDZxuCDB5t2QxNlp4ZMmjYuvhXp20ZTcGSPxIFm7gim5caPTzd6zpojSs0tjouhuDfwk7F52xtG7xdvXJpg~~&sessionId=,https://www.zhipin.com/gongsi/f57be2adf58202040XN83d-7FQ~~.html,雁塔区
python web开发,西安,python,本科,1-3年,Python|Flask|Scrapy|Docker|MySQL|Redis||||,"[5000, 8000]",13薪,无,封先生,人事经理,False,西安浩翰天御信息技术,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[0, 20]",https://www.zhipin.com/job_detail/4245486bea377bdc1H173du7FFVQ.html?lid=aIw13aFa3Ip.search.7&securityId=egixa1bp424Rn-l1wYAEPPXl-Z9mGzSBF-BKn4VUIBRvz_AkeG-ySC-M-R4soO88WicLqFaRbESEOADWI0HMu-otdypaXLhEYTRUdQckEmrnNL5qj_4~&sessionId=,https://www.zhipin.com/gongsi/4d054a0437ac10661HN-3t24Flc~.html,雁塔区
Python,西安,python,本科,经验不限,Python|Django|MySQL|Redis|Oracle,"[18000, 35000]",0薪,"[""节假日加班费"", ""定期体检"", ""意外险"", ""住房补贴"", ""通讯补贴"", ""带薪年假"", ""股票期权"", ""免费班车"", ""交通补助"", ""五险一金"", ""零食下午茶"", ""补充医疗保险"", ""生日福利"", ""节日福利"", ""加班补助"", ""年终奖""]",骆先生,软件开发,False,华为终端有限公司,"https://img.bosszhipin.com/beijin/upload/com/logo/20210316/73ea6807f43915a26ed9cc2674429bae3e8741717a4ad566bdbc95a3b8d77bcb.png?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/dcf82f2c9018c4131Hx83t66EVJZ.html?lid=aIw13aFa3Ip.search.9&securityId=YJ3oAnVjBpqeW-s1L7DGNo5xBJk5gPmiwXGh1BjTNGGb_uVoiifXaWzYg3JJvkBWLeiYLm1MqUtLfXiyaIzYGrwszBD27nWbnunQafT2QNviR5AfjBFi6a1qWsZGaGiUbxsHjmhmGPP4xcuKROvcpH8~&sessionId=,https://www.zhipin.com/gongsi/1fcb005b2df3d7d303J73dW4Ew~~.html,雁塔区
Python,西安,python,本科,5-10年,Python|Pandas|Numpy|PyTorch|MySQL|分布式经验|,"[10000, 15000]",0薪,"[""节日福利"", ""股票期权"", ""五险一金"", ""年终奖""]",郭先生,行政人事部经理,False,诺维北斗,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170831/78b61af3a4d323c043aa89880d761d8fcfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[20, 99]",https://www.zhipin.com/job_detail/720baaaf39adf8c51HNz29m7F1tS.html?lid=aIw13aFa3Ip.search.10&securityId=So1weHigFFIHP-G1Gclh2_cVt2nY2ryiVPG044kKeoFMi7LAUF6MEkqWOM8DF6eoMwfsC1IXlaZu879YqnpKSSeLn36JOcaMmgykStoRIjk3Y7WQtdKdG8KuBxqDd5OklUhYh_bq9OR-UcPBBU3q&sessionId=,https://www.zhipin.com/gongsi/94e752978cd94a2e0HNy2tq_.html,长安区
python,西安,python,本科,经验不限,Python|Django|MySQL,"[10000, 15000]",0薪,"[""加班补助"", ""交通补助"", ""带薪年假"", ""补充医疗保险"", ""通讯补贴"", ""零食下午茶"", ""生日福利"", ""节日福利"", ""团建活动"", ""定期体检"", ""五险一金"", ""免费班车""]",赵女士,HR,False,软通动力,"https://img.bosszhipin.com/beijin/upload/com/logo/20210830/7b5b554d84f9729cb81dae6da87b9eddbf6e3e481ce34ae8c7421cffdbdea8d6f11cda4aeefd5586.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/612bf1ef1edcc70f1HZ40tS_FVpZ.html?lid=aIw13aFa3Ip.search.11&securityId=fImBXqTZdy2p9-P1kW2aDrZB0RFcyo4RsSEFqP1hkkE5liReMzb2UvMchkyt3hLNkui_W0-ImShg3PFjCH-wG7UcH4nm4cboLTjqETZobd9E6ULF1l8BlWLhVQhTchpoWakJrp24y5w3760eWZo2WDE~&sessionId=,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html,雁塔区
Python,西安,python,本科,经验不限,Python|Java|C++|C|Pandas|Numpy|MySQL,"[11000, 16000]",14薪,"[""带薪年假"", ""零食下午茶"", ""保底工资"", ""团建聚餐"", ""夜班补助"", ""员工旅游"", ""法定节假日三薪"", ""节日福利"", ""节假日加班费"", ""免费班车"", ""加班补助"", ""定期体检"", ""五险一金"", ""年终奖"", ""企业年金"", ""股票期权"", ""绩效奖金"", ""意外险"", ""补充医疗保险"", ""交通补助""]",卢先生,软件开发工程师,False,华为,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/d94e171f83ca17991H1_3dq0F1dV.html?lid=aIw13aFa3Ip.search.13&securityId=oBhoVut7ECGZg-v1lLgFEe-pIQdOOgOF0jzDWBIVyduvgfTw41R_g2mxizecR58dz2JyIUFmwC-oGoP2SCqlGr4JNu6_I2lLuV5pERVIe46NqQk~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,雁塔区
